"Date_sampled","ID_plot","plot_description","Individual","#stems","max_vege hight","measured_vege hight","max_repro hight","measured_repro higth","inflor_lenght","#capitula","V12","#colonies/plant","flowering","vilted","budding","of_which are parasited","location_on stem","#aphids_in colony","#alates","perc_parasitized","#ants","comment"
"14.08.2020","Oh_01","grassland looks not too dry compared to others",1,27,NA,NA,62,61,"3",7,NA,9,9,NA,NA,NA,"FSL",72,0,1.39,11,"fresh looking plant, flowering newly"
"14.08.2020","Oh_01","",2,40,34,28,37,30,"2",7,NA,2,2,NA,NA,NA,"FS",80,0,10,33,"flowering begins, small stems veget., shaded a bit by pine"
"14.08.2020","Oh_01","",3,400,60,60,56,56,"5",18,NA,5,5,NA,NA,NA,"FS",132,0,24.24,54,"stunted flower by aphid colony (1 big one), other young flowers"
"14.08.2020","Oh_01","",4,100,71,71,76,76,"5",24,NA,1,1,NA,NA,NA,"FS",20,0,NA,7,"new #4 by path/ open, very small colony"
"14.08.2020","Oh_02","all marked colonies are gone,many evidence of parasitoides,many ladybugs, TV look very healthy& flowering, + XXX",1,800,65,65,71,71,"6",72,NA,1,1,NA,NA,NA,"F",80,0,20,10,"big patch"
"14.08.2020","Oh_02","",2,5,49,41,65,45,"4",26,NA,1,1,NA,NA,NA,"F",35,0,0.11,9,"small patch next to road (old#1), collect mummies on old #1"
"14.08.2020","Oh_02","",3,17,72,58,79,64,"6",39,NA,3,3,NA,NA,NA,"F",18,0,5.56,3,"down the path, by asparagus XXX, very small colony"
"14.08.2020","Oh_02","",4,200,100,61,110,65,"4",39,NA,1,1,NA,NA,NA,"F",75,0,1,18,"big patch of 50% wilted flowers, on hill side, higher grass"
"14.08.2020","Oh_02","",5,150,90,66,95,73,"7",50,NA,12,12,NA,NA,4,"F",160,0,40,31,"patch by side of road,XXX, ≠habitat, (XXX)"
"12.08.2020","Ol_55","",1,100,51,51,53,53,"4",26,NA,6,6,NA,NA,4,"F",26,0,5,4,"big black ladybird, plant very dry and aphids parasited, ladybird"
"12.08.2020","Ol_55","",2,33,50,50,54,54,"buds",NA,NA,8,NA,8,NA,NA,"SL",160,0,1,40,"healthy plant, many healthy aphids, some flowers with no aphids, completely parasited, mor than five colonies dead, ladybird"
"12.08.2020","Ol_55","",3,150,70,61,74,63,"4",36,NA,6,6,1,NA,1,"F",24,0,1,8,"new patch as #5 was without aphids, flowering"
"14.08.2020","Om_02","ALL of the aphids seen in july have disappeared, no sign of a parasitoid attack",1,120,67,67,72,72,"7",23,NA,3,3,NA,NA,NA,"F",4,0,0,3,"new #1 by side of road XXX, flowering"
"19.08.2020","Om_06","after big rain yesterday, '1,2,3 without aphids, plants look healthy& early flowering XXX",1,32,74,63,79,71,"8",24,NA,1,1,NA,NA,NA,"F",50,0,0,7,"flowering, no aphids in original so replaced by one morein shaded corner"
"19.08.2020","Om_06","",2,35,80,62,86,63,"8",31,NA,1,1,NA,"1",NA,"F",18,0,0,6,"small colony remains, big red ants"
"19.08.2020","Om_06","",3,31,42,42,47,47,"5",18,NA,2,NA,NA,"2",NA,"SL",140,0,0.07,18,"no flowers because of aphids?"
"17.08.2020","Nh_10","ALL the aphids were gone, a little evidence of parasitism, new #1 is old #2",1,6,64,64,70,70,"6",29,NA,2,2,NA,NA,NA,"F",150,0,1,31,"by pathway& under shrub, older flowers, wilted and reproductive"
"17.08.2020","Nh_10","",2,5,49,49,53,53,"4",13,NA,3,3,NA,NA,NA,"FS",150,0,0,50,"found in XXX with small planted oak trees, flowers and older XXX"
"17.08.2020","Nh_10","",3,15,64,64,50,50,"14",81,NA,1,1,NA,"?",NA,"F",9,0,0,6,"single tiny colony next to big patch (old #4), still fresh& XXX, by foot path/ unmowed section"
"12.08.2020","Nl_55","very dry but TV is doing not too bad compared to Wannsee",1,25,49,49,58,58,"6",30,NA,15,13,2,NA,NA,"F",140,0,1,17,"wasp parasit sighted, flowering"
"12.08.2020","Nl_55","",2,54,107,107,116,116,"12",53,NA,16,3,13,NA,NA,"FS",170,0,1,40,"many many aphids, budding+ flowering+ reproductive"
"12.08.2020","Nl_55","",3,32,105,105,110,110,"6",25,NA,6,2,NA,"4",3,"FS",200,0,1,14,""
"12.08.2020","Nl_55","",4,32,NA,NA,NA,NA,NA,NA,NA,5,2,3,NA,1,"S",114,0,20,10,"shaded area by XXX, main colony has XXX"
"12.08.2020","Nl_55","",5,11,148,148,161,161,"14",95,NA,5,2,NA,"",NA,"F",46,0,1,11,"very tall TV in corner"
"13.08.2020","Südkreuz","most TV have lost their previously many aphid colonies, hit by parasitoids + heat wave drying the TV",1,32,91,90,NA,NA,"8",63,NA,NA,7,NA,"1",4,"F",350,0,1,44,"side of road/ benches, other stems have parasites"
"13.08.2020","Südkreuz","",2,12,56,65,60,60,"6",35,NA,NA,1,NA,"",NA,"F",120,0,20,17,"side of road, already wilted flowers"
"13.08.2020","Südkreuz","",3,310,90,77,95,80,"7",52,NA,NA,NA,NA,"",5,"FS",140,0,40,17,"further down the road, along wall/ building/ big patch, goes down in ditch"
